class,latitude,longitude,elevation,ndvi,ndwi,slope,TWI,TPI,precip,soil,onlyDistanceWater,distToRoad
1,25.04602275,91.70819409,12,0.4059373,-0.23607038,1.3811516,33672.72023,2.12345679,49.474915,7,0.53333336,414.6088449
1,25.04467761,91.69341053,13,0.29592314,-0.13434966,2.2466164,20694.58719,0.87654321,49.88214,4,2.4666667,43.19024865
1,25.06767286,91.74252869,12,0.45204133,-0.37187472,2.7802885,16714.67899,0.679012346,50.14763,4,72.433334,66.16624919
1,24.97654312,91.70940116,9,0.01918682,0.12116815,3.5818248,12976.9769,-1.740740741,54.57589,4,2.1333334,500.7612071
1,24.99883592,91.71305854,11,0.25045452,-0.09497196,1.023255,45471.24132,0.382716049,54.57589,4,16.666666,586.4346577
1,25.15296836,91.81735923,13,0.5179136,-0.33058533,2.2482665,20661.47813,0.62962963,49.728397,4,190.43333,856.3740098
1,25.14972094,91.72732553,14,0.48002994,-0.3441312,2.1181886,21932.13162,-0.679012346,51.416935,4,247.26666,359.6409603
1,25.02726958,91.68475879,12,0.488606,-0.38562965,0,0,0.098765432,49.88214,4,4.0333333,21.69876122
1,25.15599232,91.79943241,15,0.6627196,-0.466534,3.4515388,13448.79197,-0.259259259,51.694046,4,493.06668,85.69024605
1,25.00079061,91.72499609,11,0.39913222,-0.30566415,1.380872,33691.69074,-0.086419753,49.474915,4,79.76667,243.956259
1,25.03008451,91.75229477,11,0.46883798,-0.3796129,1.381052,33679.41656,1.308641975,51.36942,4,137.13333,530.7163991
1,25.01439883,91.79381058,13,0.59412,-0.46715888,3.067546,15153.27504,-1.604938272,51.36942,4,27.633333,316.6311416
1,25.10465875,91.74381873,14,0.5340893,-0.34884658,3.20632,14485.69502,1.395061728,51.416935,4,293.93332,349.6104607
1,25.16214083,91.84160056,12,0.5008199,-0.32679474,1.0246208,45351.40729,-1.185185185,49.728397,4,524.1667,606.4754932
1,25.10962315,91.74445895,14,0.5242158,-0.3074678,4.488314,10337.37236,-0.62962963,51.416935,6,256.96667,422.9150171
1,25.0562448,91.69062943,10,-0.037064128,0.22904143,1.3812152,33668.41611,-0.518518519,51.524773,4,17.633333,756.7334387
1,25.01268556,91.80733715,12,0.43043268,-0.24403825,2.0460842,22730.61422,-0.987654321,51.375427,6,62.833332,235.1740119
1,25.01666649,91.67918447,10,0.5633697,-0.4522271,1.3809696,33685.04427,-0.679012346,49.88214,4,0.8333333,285.7273002
1,25.05998098,91.81656213,16,0.49263188,-0.3891246,4.1917095,11076.13272,2.913580247,51.454678,6,29.366667,495.5727108
